OBJ_ID,BEG_TIME,PRODUCER_ID,DEV_TYPE,WORK_YEAR,Reliability
07EED32B-8284-4AC1-BECB-38E06708FADE-09653,10-4月 -01 12.00.00.000000 上午,6986F7C5-7431-4D03-8026-2DBFFE3CC873-00146,50121.0,17.0,0.9275506164899315
07EED32B-8284-4AC1-BECB-38E06708FADE-09683,23-12月-13 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01767,20553.0,5.0,0.9209698645945157
07EED32B-8284-4AC1-BECB-38E06708FADE-09697,15-9月 -08 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,10.0,0.9288551944470314
07EED32B-8284-4AC1-BECB-38E06708FADE-09705,12-6月 -12 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-02062,50371.0,6.0,0.9055237242956278
07EED32B-8284-4AC1-BECB-38E06708FADE-09718,15-7月 -08 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,10.0,0.9288551944470314
07EED32B-8284-4AC1-BECB-38E06708FADE-09727,16-7月 -14 12.00.00.000000 上午,6A1E2D31-22B7-4D1F-BAA6-845655558EB2-00034,50041.0,4.0,0.9446317260769843
07EED32B-8284-4AC1-BECB-38E06708FADE-09763,06-8月 -09 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,9.0,0.9028711696116342
07EED32B-8284-4AC1-BECB-38E06708FADE-09769,31-12月-01 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01769,20058.0,17.0,0.9275506164899315
07EED32B-8284-4AC1-BECB-38E06708FADE-09772,06-8月 -09 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-00713,50111.0,9.0,0.9028711696116342
07EED32B-8284-4AC1-BECB-38E06708FADE-09783,31-12月-01 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01769,20058.0,17.0,0.9275506164899315
07EED32B-8284-4AC1-BECB-38E06708FADE-09789,31-12月-08 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20003.0,10.0,0.9288551944470314
07EED32B-8284-4AC1-BECB-38E06708FADE-09819,30-10月-07 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01769,20057.0,11.0,0.9293717088164742
07EED32B-8284-4AC1-BECB-38E06708FADE-09827,01-3月 -14 12.00.00.000000 上午,389B784C-29FF-430F-8408-065D0FDB30ED-00480,55101.0,4.0,0.9446317260769843
