OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-45404,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00803,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00666,2,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-45429,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00803,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00666,3,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-52843,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00683,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00698,5,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-52876,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00683,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00721,0,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00274,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-52925,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00684,90,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53023,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00683,53,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00274,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53121,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00699,38,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53170,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00700,9,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53203,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00701,9,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53236,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00478,50,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53334,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00684,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00703,3,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53432,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00689,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00702,5,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53481,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00694,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,35,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00242,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53530,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00694,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,42,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53579,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00694,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00478,18,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00242,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53677,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00686,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00694,36,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53726,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00686,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00478,18,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00242,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53775,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00686,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00772,14,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53824,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00686,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00772,14,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00242,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53898,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00686,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00705,10,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
