NE_OBJ_ID,NE_NAME,DEV_TYPE_NAME,PRODUCER_NAME,PRODUCER_ID,WORK_YEAR,DEV_TYPE,ALARM_NUM,ALARM_TIME
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-54392,盘龙山变Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 2070728, 0, 28053, 0, 18421, 0, 0, 676424, 2004, 0]"
EC13B12B-12EB-452C-8ECD-A252469007A2-04263,昌南基地 OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0]","[0, 0, 194793, 0, 0, 0, 0, 0, 0, 65, 259071, 28124, 0, 155617, 0]"
6E7E93A4-C378-4B0B-ACEF-428E7A48980F-02484,省检修OSN7500,,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,3.0,10010.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 458, 0]"
1C4B3DEF-6AFF-47C4-874A-0BACD75F2881-07932,信和变OSN3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 0, 1, 2, 1, 1, 2, 1, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 259447, 737162, 87182, 90512, 909482, 3884058, 0, 0, 212263, 2113, 0, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-50969,龟峰变Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 2070727, 0, 28053, 0, 18435, 0, 0, 676424, 2004, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-56892,茅家岭Metro5000,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,11.0,10015.0,"[1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 2303184, 0, 28053, 0, 18435, 0, 0, 676424, 2004, 0]"
227DF4CE-7EDD-4C17-B72F-17E5C8C3F5C5-17941,宜春供电公司 Edge 6500,光传输设备,北电,4B5153E8-0421-4A16-BBA2-907E8EFD8702-00002,15.0,11802.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 3820, 0, 0, 86417, 0, 0, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00068,燕丰变 OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 126, 578190, 0, 0, 0, 0, 0]"
6E7E93A4-C378-4B0B-ACEF-428E7A48980F-04772,杨家光伏站SM1662,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,3.0,11005.0,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[219208, 0, 207929, 0, 211786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00009,宜丰县供电公司OptiX 2500+,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10011.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285577, 1355, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00008,石市变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1353, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00005,黄岗变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1337, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00010,北门变OptiX 2500+,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10011.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1380, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00004,同安变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1156443, 0, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00007,芳溪变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1353, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00002,新庄变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1334, 0, 0]"
466F6A1A-A7A6-4F30-B403-D84B250038CF-00003,省调OM4150,光传输设备,北电,4B5153E8-0421-4A16-BBA2-907E8EFD8702-00002,6.0,11803.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 20593818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00034,赣州地调OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 903, 0, 578190, 188618, 0, 0, 0, 0]"
6E7E93A4-C378-4B0B-ACEF-428E7A48980F-03266,钓鱼台风电场OSN2500,,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,3.0,10014.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 101560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00070,罗坊新子架 OSN 7500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10010.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 917628, 0, 0, 0, 0, 0, 578194, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00007,永和变OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 578196, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00021,埠头变OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 578190, 0, 0, 0, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00006,车上变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1353, 0, 0]"
A2373521-D75E-4F32-A42E-F1AD95F8440F-53658,禅博园变OptiX 2500+,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,6.0,10011.0,"[0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 259626, 86592, 87182, 91030, 870883, 3434220, 0, 9, 0, 0, 0, 0]"
D8B24EBD-455D-4E18-93CB-A8434935D5E7-00013,陈家坪变OptiX Metro 1000V3,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,7.0,10004.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1353, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00080,赣州变OSN 7500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10010.0,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0]","[0, 0, 74160, 0, 0, 0, 0, 0, 876191, 1005606, 0, 90529, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00033,迎宾变OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 102895, 0, 0, 0, 0, 0, 0, 782147, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00031,清江变OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 12718, 1860, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00078,斗门变 OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 5543727, 0, 0, 0, 0, 0, 0, 578181, 0, 1082, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00074,石滩变OSN 3500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10009.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 8, 0, 578181, 64235, 347, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00005,葛山变 OSN 7500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10010.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 7947079, 0, 0, 0, 0, 578190, 0, 600391, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00062,众村变（峡江） OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 578186, 0, 0, 0, 0, 0]"
6E7E93A4-C378-4B0B-ACEF-428E7A48980F-04706,高新变（万年）SM1662,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,4.0,11005.0,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 10338, 0, 54, 82193, 0, 0, 0, 0, 0]"
6E7E93A4-C378-4B0B-ACEF-428E7A48980F-04734,何家变SM1662,光传输设备,阿尔卡特,9538F88D-D430-4925-AA37-CF18B37A2879-71135,5.0,11005.0,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[969919, 0, 0, 0, 0, 0, 0, 0, 3690, 0, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00016,桃苑变OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 12736, 0, 0, 0, 0, 0]"
D15168E8-A175-4B29-ACA7-F81E1776C558-01083,吉水县螺田变MatrixEdge1010,光传输设备,和记奥普泰,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,4.0,16203.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DB5D5A6E-7332-4606-B98A-1E2ED9D20115-00032,溧江变OSN 2500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,4.0,10014.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 578179, 0, 0, 0, 0, 0]"
EC13B12B-12EB-452C-8ECD-A252469007A2-04270,井冈山电厂 OSN 3500,,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,5.0,10009.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 83245, 0, 0, 0, 0, 0, 0, 578200, 0, 0, 0, 0, 0]"
7109571B-DCC4-4CD3-BBD4-4EFDC2D8F49F-00057,马回岭变OptiX OSN 7500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,8.0,10010.0,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2303184, 0, 27438, 900660, 803619, 0, 0, 0, 0, 0]"
76A0F534-5725-4418-BA33-5B7A7844C55D-00939,志光变OptiX OSN 7500,光传输设备,华为,D5728866-99D4-4C22-B3C2-CCFD362CCAB3-01634,6.0,10010.0,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2303184, 0, 27375, 542485, 803619, 0, 0, 0, 0, 0]"
