OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW,NAME,FIBER_TYPE,LINE_NUMBER_USED
8254F6CE-E888-466D-8BE9-2D38AE506221-34889,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00699,10101,9CB7A774-B092-4847-BC88-703B9DC06A52-00083,34,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV铁山垅变～110kV会昌变)24芯OPGW光缆段01,1,8
8254F6CE-E888-466D-8BE9-2D38AE506221-34938,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00718,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03542,5,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(110kV龙南变～110kV富康变)24芯OPGW光缆段01,1,4
8254F6CE-E888-466D-8BE9-2D38AE506221-34987,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33756,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,2,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV云山变～老地调5楼)12芯普通光缆光缆段01,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-35012,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33756,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,2,6,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,,,(110kV云山变～老地调5楼)6芯普通光缆光缆段02,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-35025,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33756,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-03568,1,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(110kV云山变～110kV新云山变)24芯普通光缆光缆段01,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-35123,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33757,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00696,2,48,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(110kV城东变～赣州供电公司)48芯普通光缆光缆段01,3,12
8254F6CE-E888-466D-8BE9-2D38AE506221-35220,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33758,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00696,1,48,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(计量大楼～赣州供电公司)48芯普通光缆光缆段01,3,10
8254F6CE-E888-466D-8BE9-2D38AE506221-35317,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00696,5,48,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(老地调5楼～赣州供电公司)48芯普通光缆光缆段01,3,14
8254F6CE-E888-466D-8BE9-2D38AE506221-35414,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33758,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,3,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(计量大楼～老地调5楼)12芯普通光缆光缆段01,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-35439,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33758,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33757,2,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(计量大楼～110kV城东变)12芯普通光缆光缆段01,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-35464,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33759,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,5,8,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(宏远大厦～老地调5楼)8芯普通光缆光缆段01,3,2
8254F6CE-E888-466D-8BE9-2D38AE506221-35481,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33759,10101,9CB7A774-B092-4847-BC88-703B9DC06A52-00078,1,8,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(宏远大厦～110kV黄金变)8芯普通光缆光缆段01,3,2
8254F6CE-E888-466D-8BE9-2D38AE506221-35572,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33760,10101,9CB7A774-B092-4847-BC88-703B9DC06A52-00078,2,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(老城郊～110kV黄金变)24芯普通光缆光缆段01,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-35621,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33761,10101,9CB7A774-B092-4847-BC88-703B9DC06A52-00078,2,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(城郊公司新大楼～110kV黄金变)24芯普通光缆光缆段01,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-35670,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33761,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00708,3,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(城郊公司新大楼～110kV庄子变)24芯普通光缆光缆段01,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-35719,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00685,7,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(老地调5楼～220kV虎岗变)24芯普通光缆光缆段01,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-35768,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33764,5,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(老地调5楼～北院)12芯普通光缆光缆段01,3,2
8254F6CE-E888-466D-8BE9-2D38AE506221-35818,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33762,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33763,0,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(老地调5楼～老地调7楼)24芯普通光缆光缆段01,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-35867,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33767,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,7,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(于都县供电分公司～220kV渡口变)24芯普通光缆光缆段01,3,10
8254F6CE-E888-466D-8BE9-2D38AE506221-35916,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33768,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00683,10,24,157350D3-5B21-4FDA-9C65-FF541B1D8A44-00081,,,,(兴国县供电分公司～220kV埠头变)24芯普通光缆光缆段01,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-35965,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33769,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33770,2,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00248,,,,(会昌县供电分公司～会昌县公司)12芯普通光缆光缆段01,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-36014,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33770,10101,9CB7A774-B092-4847-BC88-703B9DC06A52-00083,2,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(会昌县公司～110kV会昌变)12芯普通光缆光缆段01,3,2
8254F6CE-E888-466D-8BE9-2D38AE506221-36039,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33771,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00703,4,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(宁都县供电分公司～110kV宁都变)24芯普通光缆光缆段01,3,4
8254F6CE-E888-466D-8BE9-2D38AE506221-36088,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33771,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00703,5,8,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(宁都县供电分公司～110kV宁都变)8芯普通光缆光缆段02,3,0
8254F6CE-E888-466D-8BE9-2D38AE506221-36105,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33771,10101,CD75A163-7861-4820-99A2-12846B96CA95-35776,6,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(宁都县供电分公司～35kV七里变)24芯普通光缆光缆段01,3,2
8254F6CE-E888-466D-8BE9-2D38AE506221-36154,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33772,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00694,5,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(生物电厂～220kV山田变)16芯OPGW光缆段01,1,4
8254F6CE-E888-466D-8BE9-2D38AE506221-36187,10101,8254F6CE-E888-466D-8BE9-2D38AE506221-33773,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00697,28,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,,,(白鹅水电厂～220kV渡口变)16芯OPGW光缆段01,1,4
